,binary bipolar predictions,ground truths (tx),linear predictions
0,-1,-1.0,-0.9714913
1,-1,-1.0,-0.97770965
2,1,1.0,0.958952
3,-1,-1.0,-0.99199075
4,-1,-1.0,-1.0190812
5,-1,-1.0,-0.9790412
6,1,1.0,0.94533765
7,1,1.0,0.96573734
8,1,1.0,0.9876102
9,1,1.0,0.99981225
10,1,1.0,1.0276288
11,-1,-1.0,-0.9961592
12,-1,-1.0,-0.987072
13,-1,-1.0,-0.97252584
14,1,1.0,0.9478203
15,-1,-1.0,-1.0014585
16,-1,-1.0,-1.0309741
17,-1,-1.0,-0.984141
18,1,1.0,0.93489873
19,1,1.0,0.9760556
20,1,1.0,1.0217848
21,-1,-1.0,-0.99778235
22,-1,-1.0,-0.9932506
23,-1,-1.0,-0.99085355
24,-1,-1.0,-0.971149
25,1,1.0,1.0812117
26,1,1.0,0.9642364
27,1,1.0,0.98012257
28,1,1.0,1.0162843
29,-1,-1.0,-0.9855285
30,-1,-1.0,-1.0147208
31,1,1.0,0.995988
32,1,1.0,0.98605734
33,1,1.0,0.990665
34,1,1.0,1.0211967
35,-1,-1.0,-1.0036721
36,-1,-1.0,-1.0004921
37,-1,-1.0,-1.0157572
38,-1,-1.0,-1.0290302
39,-1,-1.0,-1.0444535
40,-1,-1.0,-1.0381893
41,-1,-1.0,-1.009644
42,1,1.0,0.8876581
43,1,1.0,0.9460204
44,1,1.0,0.9786791
45,1,1.0,0.99010247
46,1,1.0,0.99147904
47,-1,-1.0,-0.9980171
48,-1,-1.0,-0.9977726
49,-1,-1.0,-0.994635
50,-1,-1.0,-0.9692542
51,1,1.0,0.9788691
52,1,1.0,0.9858446
53,-1,-1.0,-1.0473489
54,1,1.0,0.8842763
55,-1,-1.0,-0.9818177
56,-1,-1.0,-0.99156404
57,1,1.0,1.0114714
58,1,1.0,0.98998296
59,1,1.0,0.9919511
60,1,1.0,1.0077093
61,-1,-1.0,-0.98495555
62,1,1.0,0.98186064
63,1,1.0,0.9671885
64,1,1.0,0.9988731
65,-1,-1.0,-0.9923555
66,-1,-1.0,-1.005701
67,-1,-1.0,-1.0158455
68,-1,-1.0,-1.0293866
69,-1,-1.0,-1.0282067
70,-1,-1.0,-1.0166152
71,1,1.0,0.89436334
72,1,1.0,0.96807134
73,-1,-1.0,-0.97291565
74,-1,-1.0,-0.9663473
75,1,1.0,1.0216247
76,-1,-1.0,-0.94301283
77,1,1.0,1.0092683
78,1,1.0,0.9740141
79,1,1.0,0.99391186
80,1,1.0,1.0024887
81,-1,-1.0,-0.9909525
82,-1,-1.0,-0.9792774
83,1,1.0,1.018494
84,-1,-1.0,-0.98823625
85,-1,-1.0,-1.0146514
86,-1,-1.0,-0.9833976
87,1,1.0,0.9451616
88,1,1.0,0.9634539
89,1,1.0,0.9916227
90,1,1.0,0.9925079
91,1,1.0,0.97643715
92,1,1.0,0.98211277
93,1,1.0,0.98273546
94,1,1.0,0.98848933
95,-1,-1.0,-1.0542151
96,-1,-1.0,-1.008626
97,-1,-1.0,-1.015685
98,-1,-1.0,-1.0220056
99,-1,-1.0,-1.0447838
100,-1,-1.0,-1.0553557
101,-1,-1.0,-1.0523065
102,-1,-1.0,-1.0455185
103,-1,-1.0,-1.018046
104,1,1.0,0.9126884
105,-1,-1.0,-1.0217592
106,-1,-1.0,-0.96942234
107,1,1.0,1.0586153
108,1,1.0,1.09593
109,-1,-1.0,-1.0063052
110,1,1.0,1.0021764
111,1,1.0,0.9590071
112,1,1.0,0.9823445
113,1,1.0,0.999666
114,-1,-1.0,-1.012034
115,1,1.0,0.98644197
116,-1,-1.0,-0.99383193
117,-1,-1.0,-0.99402714
118,-1,-1.0,-0.9787276
119,1,1.0,0.98538506
120,-1,-1.0,-0.99633086
121,1,1.0,0.96653926
122,-1,-1.0,-0.9842276
123,-1,-1.0,-0.99869025
124,-1,-1.0,-0.9786236
125,1,1.0,1.0007222
126,-1,-1.0,-0.9152521
127,1,1.0,1.0032405
128,-1,-1.0,-0.98407173
129,-1,-1.0,-0.9957082
130,-1,-1.0,-0.97170055
131,1,1.0,1.0011053
132,1,1.0,0.9919294
133,-1,-1.0,-1.0015262
134,-1,-1.0,-0.9685843
135,1,1.0,1.0340335
136,1,1.0,0.99333465
137,-1,-1.0,-1.0128379
138,-1,-1.0,-1.0052177
139,-1,-1.0,-1.005384
140,-1,-1.0,-1.0186533
141,-1,-1.0,-0.9929015
142,1,1.0,0.9500855
143,1,1.0,0.97073567
144,-1,-1.0,-1.0107241
145,-1,-1.0,-0.99587107
146,-1,-1.0,-0.9978671
147,-1,-1.0,-0.9773489
148,1,1.0,0.9769597
149,-1,-1.0,-0.9349773
150,1,1.0,0.9831104
151,1,1.0,0.96627825
152,1,1.0,0.9860721
153,1,1.0,1.0067208
154,-1,-1.0,-1.0133752
155,1,1.0,1.0283318
156,1,1.0,0.9783291
157,-1,-1.0,-0.94979376
158,-1,-1.0,-0.98355037
159,1,1.0,0.94690657
160,-1,-1.0,-0.9504882
161,-1,-1.0,-0.9888434
162,1,1.0,0.94085354
163,1,1.0,0.9832468
164,1,1.0,0.9883918
165,1,1.0,1.0028585
166,1,1.0,0.997012
167,-1,-1.0,-0.9880185
168,1,1.0,0.9669144
169,-1,-1.0,-1.0366515
170,-1,-1.0,-0.9957478
171,-1,-1.0,-0.9705931
172,1,1.0,0.95876765
173,1,1.0,0.9642049
174,1,1.0,0.9820121
175,1,1.0,1.00308
176,1,1.0,1.043443
177,-1,-1.0,-0.98077214
178,-1,-1.0,-1.0378519
179,1,1.0,0.98460615
180,-1,-1.0,-0.973784
181,-1,-1.0,-0.9779464
182,1,1.0,0.9411547
183,-1,-1.0,-0.9166729
184,1,1.0,1.0381767
185,-1,-1.0,-0.9838881
186,-1,-1.0,-0.99561954
187,-1,-1.0,-0.98027116
188,1,1.0,0.9695629
189,-1,-1.0,-0.9468736
190,1,1.0,1.0183004
191,1,1.0,0.8112744
192,-1,-1.0,-0.8899974
193,1,1.0,0.9921974
194,1,1.0,1.0015007
195,-1,-1.0,-0.9956127
196,-1,-1.0,-0.9968612
197,-1,-1.0,-1.012196
198,-1,-1.0,-1.0163118
199,-1,-1.0,-0.9655051
200,1,1.0,0.9204718
201,1,1.0,0.9483253
202,1,1.0,0.9944087
203,-1,-1.0,-0.97852606
204,-1,-1.0,-0.96742827
205,1,1.0,1.0621219
206,-1,-1.0,-0.9853823
207,-1,-1.0,-1.0205013
208,-1,-1.0,-1.0327283
209,-1,-1.0,-1.0131729
210,-1,-1.0,-0.99423903
211,1,1.0,0.61508554
212,1,1.0,0.9779966
213,-1,-1.0,-1.0386146
214,1,1.0,0.9972403
215,1,1.0,0.95258236
216,1,1.0,0.9789013
217,1,1.0,0.9834478
218,1,1.0,0.979198
219,1,1.0,0.9877754
