,binary bipolar predictions,ground truths (tx),linear predictions
0,-1,1.0,-0.4132398
1,-1,-1.0,-0.49376813
2,-1,-1.0,-0.43936357
3,-1,1.0,-0.51504534
4,-1,-1.0,-0.699718
5,-1,-1.0,-0.73924506
6,-1,-1.0,-0.447616
7,1,1.0,0.07998639
8,1,1.0,0.51222616
9,1,1.0,0.7910157
10,1,1.0,0.8062167
11,1,1.0,0.467338
12,-1,-1.0,-0.064021096
13,-1,-1.0,-0.44344705
14,-1,-1.0,-0.43817618
15,-1,1.0,-0.5408008
16,-1,-1.0,-0.73627037
17,-1,-1.0,-0.7724955
18,-1,-1.0,-0.45423743
19,1,1.0,0.0928808
20,1,1.0,0.33777592
21,1,1.0,0.17428315
22,-1,-1.0,-0.32545772
23,-1,-1.0,-0.6386196
24,-1,-1.0,-0.7514728
25,-1,-1.0,-0.55124664
26,1,1.0,0.0958678
27,1,1.0,0.41708788
28,1,1.0,0.64152676
29,1,1.0,0.4064071
30,1,-1.0,0.14500552
31,1,-1.0,0.25944895
32,1,1.0,0.4787188
33,1,1.0,0.65064216
34,1,1.0,0.7079468
35,1,1.0,0.39111996
36,-1,-1.0,-0.07436733
37,-1,-1.0,-0.6010828
38,-1,-1.0,-0.8573037
39,-1,-1.0,-1.0367057
40,-1,-1.0,-1.1001122
41,-1,-1.0,-1.0186388
42,-1,-1.0,-0.72379726
43,-1,1.0,-0.17517763
44,1,1.0,0.40466663
45,1,1.0,0.7706667
46,1,1.0,0.8617695
47,1,1.0,0.5124099
48,-1,-1.0,-0.034929216
49,-1,-1.0,-0.59683883
50,-1,-1.0,-0.6996178
51,-1,-1.0,-0.4867175
52,-1,1.0,-0.13390222
53,1,1.0,0.04417317
54,1,-1.0,0.13018598
55,-1,1.0,-0.00939111
56,-1,-1.0,-0.19751823
57,1,-1.0,0.021161336
58,1,1.0,0.34468856
59,1,1.0,0.6137923
60,1,1.0,0.72251654
61,1,1.0,0.62177545
62,1,-1.0,0.6622338
63,1,1.0,0.76714677
64,1,1.0,0.72305906
65,1,1.0,0.42154476
66,-1,-1.0,-0.11063005
67,-1,-1.0,-0.6092476
68,-1,-1.0,-0.87982047
69,-1,-1.0,-1.0095687
70,-1,-1.0,-0.9557657
71,-1,-1.0,-0.6639991
72,-1,1.0,-0.30277422
73,-1,1.0,-0.22031942
74,-1,-1.0,-0.29559168
75,-1,-1.0,-0.15638639
76,-1,1.0,-0.12422538
77,1,-1.0,0.1314879
78,1,1.0,0.4367362
79,1,1.0,0.7207942
80,1,1.0,0.7984742
81,1,1.0,0.4793338
82,1,-1.0,0.19116229
83,1,-1.0,0.074723914
84,-1,1.0,-0.2553181
85,-1,-1.0,-0.6169088
86,-1,-1.0,-0.66915715
87,-1,-1.0,-0.42993146
88,1,1.0,0.15163149
89,1,1.0,0.53122485
90,1,1.0,0.7916343
91,1,1.0,0.974478
92,1,1.0,1.0079868
93,1,1.0,1.0275654
94,1,1.0,0.9397753
95,1,1.0,0.5790802
96,-1,-1.0,-0.0005131848
97,-1,-1.0,-0.57605445
98,-1,-1.0,-0.83052933
99,-1,-1.0,-0.992439
100,-1,-1.0,-1.1038516
101,-1,-1.0,-1.1288482
102,-1,-1.0,-1.165302
103,-1,-1.0,-1.0301998
104,-1,-1.0,-0.8268092
105,-1,1.0,-0.79738057
106,-1,-1.0,-0.6636468
107,-1,-1.0,-0.34102207
108,1,1.0,0.010559466
109,1,1.0,0.15094599
110,1,-1.0,0.33044937
111,1,1.0,0.5877584
112,1,1.0,0.8340532
113,1,1.0,0.81595737
114,1,1.0,0.6732918
115,1,-1.0,0.5197713
116,1,1.0,0.12504826
117,-1,-1.0,-0.41830364
118,-1,-1.0,-0.56418365
119,-1,-1.0,-0.53053284
120,-1,1.0,-0.40904713
121,-1,-1.0,-0.24160078
122,-1,1.0,-0.37438667
123,-1,-1.0,-0.59652287
124,-1,-1.0,-0.6563977
125,-1,-1.0,-0.5737694
126,-1,1.0,-0.43206716
127,-1,-1.0,-0.26846594
128,-1,1.0,-0.4090877
129,-1,-1.0,-0.60809505
130,-1,-1.0,-0.6498208
131,-1,-1.0,-0.43226674
132,-1,1.0,-0.05878888
133,-1,1.0,-0.1780558
134,-1,-1.0,-0.18529028
135,1,-1.0,0.018678565
136,1,1.0,0.23044175
137,1,1.0,0.06635453
138,-1,-1.0,-0.46313944
139,-1,-1.0,-0.69014525
140,-1,-1.0,-0.91753346
141,-1,-1.0,-0.89186895
142,-1,-1.0,-0.6366425
143,-1,1.0,-0.27953252
144,-1,1.0,-0.3005551
145,-1,-1.0,-0.491154
146,-1,-1.0,-0.7267898
147,-1,-1.0,-0.77291644
148,-1,-1.0,-0.672143
149,-1,1.0,-0.4907299
150,-1,-1.0,-0.055757716
151,1,1.0,0.35462892
152,1,1.0,0.71855414
153,1,1.0,0.79129565
154,1,1.0,0.63507247
155,1,-1.0,0.6472045
156,1,1.0,0.6369395
157,1,1.0,0.2720036
158,1,-1.0,0.025553185
159,-1,-1.0,-0.14904104
160,-1,1.0,-0.2999019
161,-1,-1.0,-0.4350118
162,-1,-1.0,-0.16935246
163,1,1.0,0.25380802
164,1,1.0,0.59397393
165,1,1.0,0.8243772
166,1,1.0,0.8856549
167,1,1.0,0.72509456
168,1,-1.0,0.51181513
169,1,1.0,0.1727564
170,-1,-1.0,-0.4065149
171,-1,-1.0,-0.58852243
172,-1,-1.0,-0.30718002
173,1,1.0,0.15683812
174,1,1.0,0.5064151
175,1,1.0,0.80483156
176,1,1.0,0.7717623
177,1,1.0,0.5010768
178,1,-1.0,0.21480387
179,1,-1.0,0.024583202
180,-1,1.0,-0.2845386
181,-1,-1.0,-0.41889608
182,-1,-1.0,-0.3746669
183,-1,1.0,-0.21457581
184,-1,-1.0,-0.14264864
185,-1,1.0,-0.33256117
186,-1,-1.0,-0.5919826
187,-1,-1.0,-0.67176354
188,-1,-1.0,-0.57127774
189,-1,1.0,-0.4243872
190,-1,-1.0,-0.025677133
191,1,1.0,0.17847677
192,1,1.0,0.26622304
193,1,-1.0,0.42387798
194,1,1.0,0.5159522
195,1,1.0,0.2187912
196,-1,-1.0,-0.30313143
197,-1,-1.0,-0.7025844
198,-1,-1.0,-0.90530586
199,-1,-1.0,-0.8794769
200,-1,-1.0,-0.6143107
201,-1,1.0,-0.09322837
202,1,1.0,0.32640016
203,1,1.0,0.1736107
204,-1,-1.0,-0.01876491
205,-1,-1.0,-0.038155265
206,-1,1.0,-0.35044774
